pdb,spit,version,energy_myh,energy
7tj1_D,val,before,725608335755749.2,347771727.4900861
7pq7_A,val,before,4238281659480.1445,108657848881.06036
7bcz_A,val,before,43057.23186982647,-29968.674144601155
6z01_A,val,before,31356708.456657786,-81010.2806046979
7dkk_A,val,before,5633358602.412036,5400121724.542933
7ny6_A,val,before,38995402290.57343,22952440346.049065
7w83_A,val,before,1.3611102578114896e+16,1.3597847562678024e+16
7b2a_A,val,before,4146448813042.8726,459168.79143908765
7wgk_A,val,before,5604682168.775256,5242816170.650224
7atr_A,val,before,258097.19857235876,-74116.30929503033
7re4_A,val,before,12360064292808.572,1793279.9817715054
7cjs_B,val,before,127179323515596.77,442308499777.4678
7dru_C,val,before,173196090131.76343,80579722299.69032
7b29_A,val,before,30121412234086.562,234688185.29075798
7ljh_A,val,before,1.2748524976095696e+16,178606898050.92255
7lgr_A,val,before,5.859739008392408e+16,157865418366.3811
7ef6_A,val,before,1157557172201242.0,559105449720299.8
7bcb_B,val,before,351352715.8405494,73249950.49930415
7ffa_A,val,before,64516537449352.15,162638264345518.1
7t8o_B,val,before,1653958023.8121202,1017040.5334231706
7lc5_A,val,before,28206816.011922333,59804.54954550143
7poh_B,val,before,123923288084214.5,5321789.160621166
7bew_A,val,before,171779.5147177491,-50248.22583113104
7bcj_A,val,before,5190029030932919.0,3726634861538.4526
7dmf_A,val,before,107428059.07955451,1174109.8695148693
7lsv_B,val,before,9168800971447.932,9160201143586.195
7tkv_A,val,before,654746291.5599821,911575064784.8168
7duv_A,val,before,3538230812396.0054,233882823679.0758
7kiu_A,val,before,1.300432307197302e+16,161607347.44202513
7fbp_B,val,before,11053304878335.262,267889803.01336357
7swh_A,val,before,92615158028816.0,92294548677725.53
7t71_A,val,before,94668513919744.6,1307724881822.5295
7eqx_A,val,before,116796184390090.84,634709947660.7001
7e37_A,val,before,190450306798.1208,76488878844.04236
7vw0_B,val,before,669527259532.1509,35059699335.58858
7o49_F,val,before,1.8836167646139968e+17,182560592095.26843
7dnu_A,val,before,267022680300.35706,42145147.75168163
7spo_C,val,before,3619869173986.452,3356740384328.727
7kua_A,val,before,358295478012418.8,92512005009862.98
7f6e_B,val,before,6955930739.817123,1406577090.983622
7ksp_A,val,before,104562.51802087991,-59611.87169378946
7djy_A,val,before,4057309892.894368,1701469797.5168922
6wmk_A,val,before,2797450197.244461,5796925.409486781
7ta9_A,val,before,645247128088.8755,286030869528.04285
7b2o_A,val,before,111142939330506.52,108366303535101.78
7lew_B,val,before,13457386458.462214,55774411.63380672
7vmu_A,val,before,2575519007489.1953,2551999441241.3667
7lnu_B,val,before,385855590657.1098,12974597070.199696
7kzh_A,val,before,8604712149.972193,2436783839.648099
7e2v_A,val,before,100843070964.5861,2724248656.5496798
7e3z_A,val,before,1419823813.28594,8331444.013047871
7r84_A,val,before,182604.5921501665,164413.3769669342
7q47_A,val,before,1496388.9491193756,1305731.0437313933
7t5f_B,val,before,133200516035.78255,755393.6214552813
7b28_F,val,before,16095832937.057425,2079740903.7903724
7thh_A,val,before,3107708499.816599,96319.8734237386
7mwr_A,val,before,429402.8713033749,-27518.567015332264
7e0m_A,val,before,108609267254986.78,108601257499484.53
7l6y_A,val,before,65397190.9227236,75644.61712686352
6xqj_A,val,before,1.5335773326088461e+25,1.533577331975565e+25
7v5y_B,val,before,-6659.9898941650135,-14158.611714409535
7ppp_A,val,before,3941977352057.9023,26203442808.734146
7mro_A,val,before,40237044.13795938,107738.87264912987
7dqg_A,val,before,134221555226347.61,2638150588709.5566
7fbh_A,val,before,162220235825.08423,1241479833.7183628
6zpp_A,val,before,6.431060797206225e+16,6.430590772567436e+16
7dk9_A,val,before,2673541197805567.0,83136176035.88481
7puo_A,val,before,1073186.5899344403,2668.9424335724343
7vnb_A,val,before,47423362.20918402,1097024.2125043375
7lxc_A,val,before,6599827537803.565,7849545.37311079
7swk_B,val,before,92099605988469.66,330053491.5554535
7q1b_A,val,before,588061224830416.0,586604274663154.1
7dfe_A,val,before,46417726.09538982,6065770.807473962
7sy9_A,val,before,269418978087.28867,1700323907.4084818
7dvn_A,val,before,4913358824.782234,7876112.714380102
7esx_A,val,before,5.962782212991492e+18,9.710543564734006e+16
7s02_C,val,before,1015651190106.0901,36095.89641216037
7mfi_A,val,before,25236793864.5931,214767.00335262698
7l19_C,val,before,2195378062735.8223,518788320112.26575
7plb_B,val,before,3.472568332807031e+18,1117155.7184532587
7mrs_B,val,before,49732472369026.79,5381632381.590846
7tcb_B,val,before,33890359086.67662,4395889312.614637
7lbu_A,val,before,1480725779644556.2,45322546202890.4
7vpf_A,val,before,2756246326335476.5,3901829239.709244
7dup_A,val,before,9113019459.547623,380650488.99209285
7mqy_A,val,before,319880754792946.06,220333724661293.3
7b4q_A,val,before,327189926.656433,1185047.441628711
7tb5_A,val,before,8273867472177034.0,373270178423.18
7l6j_A,val,before,271498449.6258787,96940126.16213179
7bbz_A,val,before,3736449037186216.0,5739507044120.377
7kos_A,val,before,19999701221.69342,13221114266.613335
7awk_A,val,before,37208721279.749664,36575002930.23599
7ofn_A,val,before,1496807775.7893147,1041664995.6765479
7b3a_A,val,before,1141075552.2685945,915251688.1757716
7dut_A,val,before,18430520.38342403,131684.4657402668
7m4m_A,val,before,640608500234.2615,639754204520.9017
7on9_A,val,before,92962749553429.55,318287214.5715858
7sir_A,val,before,23891098794428.16,604694596565.574
7au7_A,val,before,10631393443447.773,10613258445743.96
7t9w_B,val,before,53091157985.55006,13158814147.260319
7jiz_A,val,before,236129745205231.34,2359961605.096325
7ewu_B,val,before,1435959471000.6533,17299167291.199734
7rwk_A,val,before,1644510481.662576,115551758.88889833
7pab_A,val,before,5.677447226713504e+17,71618832666587.66
7obm_A,val,before,2.8995163950424252e+16,2.8992517954987644e+16
7mu9_A,val,before,103527461.89806828,252777.7702991809
7b7t_A,val,before,7162015303.335489,153905994.24487913
7t24_A,val,before,63278619114.04504,1548445094.7880259
7ls0_B,val,before,18526040055979.105,15514362186249.07
7b1w_F,val,before,1870953118419.9426,17367177524.373997
7p82_C,val,before,2894251112772894.5,2893893627819838.0
7bhy_A,val,before,6555733.965486465,14269.131328039091
7lvz_D,val,before,44551142517.84399,30835404.014475953
7bgs_B,val,before,5311892313869.359,5247159546518.945
7dko_A,val,before,21673847.8658894,-10108.997490077949
7b0d_A,val,before,4976231487686821.0,2886375870287054.0
7kuw_A,val,before,2103.9786080960175,-6914.757114375271
7kdx_B,val,before,69271958159.86555,2257302978.5152273
7ebt_B,val,before,4.120403792293962e+17,4.119985499016615e+17
7rds_A,val,before,18548806883.598267,4535335969.705631
7stz_C,val,before,1580777692979008.0,953629073262046.2
7mfw_B,val,before,2724232379.414303,58613835.007130034
7eqx_C,val,before,1361726621.4274569,5654.013766080801
7pqf_A,val,before,2744263946345.6045,61154292.68082116
7rg7_A,val,before,61909364744141.984,32456848210769.855
7ee3_C,val,before,31208069763.394207,275089.3319096611
7mrk_D,val,before,18136555.984933276,8432682.156693714
7m4n_A,val,before,33452212.048126306,58413.167188749256
7e0m_A,val,after,-52248.66974028963,-69974.59311266709
7l6y_A,val,after,23052360136.450848,51247.939616867974
6xqj_A,val,after,34880894.90864714,14606133.775756968
7b28_F,val,after,-19188.704589985227,-32385.523877408876
7thh_A,val,after,-15880.403395518377,-22534.852778567743
7mwr_A,val,after,-35419.22750766692,-45186.64477599292
7lxc_A,val,after,-22056.381940997628,-27141.404161495375
7swk_B,val,after,17997460.949275173,-55904.36457525383
7q1b_A,val,after,-53190.91502825178,-74048.98859346556
7dfe_A,val,after,-13595.935510030336,-20412.447386889675
7sy9_A,val,after,2625492.5686985063,-84269.19957809204
7esx_A,val,after,865839510278.5316,323475739982.0828
7dvn_A,val,after,-22326.009314147825,-30488.624308728886
7mfi_A,val,after,-16619.772848374225,-26339.89485571844
7s02_C,val,after,-3102.7605811746766,-4994.362060874644
7plb_B,val,after,157728043240.31387,-47939.41720538164
7l19_C,val,after,-24306.956886287524,-33587.61036975752
7mrs_B,val,after,24633312.439555015,-17583.76884097051
7v5y_B,val,after,-15769.60999667825,-20157.879750316304
7ppp_A,val,after,-14931.111477822611,-19330.347616837753
7mro_A,val,after,15226447.714110358,-33733.027305985976
7dqg_A,val,after,-23048.857476541074,-33361.49634790754
6zpp_A,val,after,-35296.489036265615,-43318.08073324352
7fbh_A,val,after,-30677.918924718084,-59704.30253430555
7dk9_A,val,after,-31863.849478437613,-45634.193825163165
7puo_A,val,after,-18869.632842532395,-25251.024973293297
7vnb_A,val,after,-13304.576840189166,-19825.273110500562
7dnu_A,val,after,87473556.65256172,-45123.882902222205
7spo_C,val,after,-16846.707384745365,-23542.835572223805
7kua_A,val,after,-29995.34615620499,-40217.650269797494
7f6e_B,val,after,-54400.649259868675,-69715.99919711688
7swh_A,val,after,-56445.03812063046,-75575.08000332829
7fbp_B,val,after,-5520.364506372628,-6622.203172821255
7t71_A,val,after,-53033.7451632641,-73263.20503135008
7eqx_A,val,after,-14999.403631962443,-21146.74566428327
7e37_A,val,after,-38890.07403608339,-55805.19980230395
7o49_F,val,after,33197666874.726345,22402399871.63012
7vw0_B,val,after,-9863.779416418443,-15639.208710074183
7lew_B,val,after,-7848.12121121426,-11358.294599769662
7vmu_A,val,after,5655120.706712098,-18884.587375683885
7lnu_B,val,after,-27342.55864191391,-47156.488196870676
7kzh_A,val,after,-19749.00950897374,-35546.06505536554
7e2v_A,val,after,3061313.2685486143,-71795.98980038331
7e3z_A,val,after,-17441.396912122607,-53326.101114098026
7r84_A,val,after,-1950.1517577371887,-6415.067077267624
7q47_A,val,after,-32548.538521378494,-40793.53694004951
7t5f_B,val,after,-14221.85807708125,-21717.41278385587
7ksp_A,val,after,-32607.027864100364,-46037.73474446892
7djy_A,val,after,-15274.077570271855,-21515.015720228843
6wmk_A,val,after,-12123.164258881337,-16679.55635180338
7ta9_A,val,after,-37412.680181383475,-53764.62045044069
7b2o_A,val,after,627792.7709545692,-46174.767918804886
7p82_C,val,after,886607.1083900692,-67212.21303420179
7bhy_A,val,after,-11211.922587975903,-14421.026577137094
7bgs_B,val,after,4096404606.8988194,4096383967.5460286
7lvz_D,val,after,-33144.56819861708,-46707.495504462175
7b0d_A,val,after,16573.387314060863,-75006.3848823164
7dko_A,val,after,-9789.752787672347,-14544.74505886838
7kuw_A,val,after,-9512.625348080182,-12659.239959329374
7kdx_B,val,after,11759957.791920101,-130766.5793277533
7ebt_B,val,after,-7006.355421573882,-42536.180776672474
7rwk_A,val,after,-39289.98668034411,-81995.17978441228
7pab_A,val,after,1019109153684.1396,102967343.1620183
7mu9_A,val,after,-19415.410200449573,-25143.637384805847
7obm_A,val,after,13825266.786341581,-113316.56724869818
7b7t_A,val,after,-41388.49061910554,-106871.83536525766
7t24_A,val,after,-65059.24428731308,-86266.92289658947
7ls0_B,val,after,90137.09695644915,-33371.05217601733
7b1w_F,val,after,-29037.8545814749,-42109.749686820986
7pqf_A,val,after,-20117.603293315522,-32209.80115660397
7ee3_C,val,after,19345229488.468575,-19337.7900012997
7rg7_A,val,after,14440752378959.164,14187049506087.0
7m4n_A,val,after,-20786.262578894988,-30451.973998018584
7mrk_D,val,after,44977006.16461691,-41303.32178225215
7rds_A,val,after,28360927.738103107,1369404.8333726593
7stz_C,val,after,967018.3921962623,924511.8864626348
7mfw_B,val,after,-12952.418185499795,-17646.313258269667
7eqx_C,val,after,-34651.13379579761,-49822.87041098546
7tb5_A,val,after,12105519.983618861,11495689.685572477
7l6j_A,val,after,599869.1007861006,-47643.31861213638
7bbz_A,val,after,-41356.523597085645,-55380.67063364324
7kos_A,val,after,-17666.163390119655,-25559.289924545203
7awk_A,val,after,370932.34594929765,-11929.187881447504
7tcb_B,val,after,-18488.61489443273,-31621.923907402303
7lbu_A,val,after,1327115.655890476,-73638.85839009541
7vpf_A,val,after,-43812.31919210369,-61676.41433302418
7mqy_A,val,after,62355621.927702345,278171.7726391763
7dup_A,val,after,9292406.9292083,790018.6915787765
7b4q_A,val,after,351949.2320137761,-58264.719476867554
7t9w_B,val,after,-1955.5346862910692,-11477.222288517842
7jiz_A,val,after,13782808250.648407,102766.80478166681
7ewu_B,val,after,-12713.058750969678,-27848.139993325465
7ofn_A,val,after,-17487.49774101297,-25134.915208300226
7b3a_A,val,after,-39398.12899867611,-55647.36448987233
7dut_A,val,after,-24538.87208091833,-37210.97819895096
7m4m_A,val,after,-33762.28212810845,-55002.35114806918
7sir_A,val,after,524629774.65398014,-72067.87202487477
7on9_A,val,after,107626.63576271915,-78600.90857361595
7au7_A,val,after,9587.175588553653,-36420.45679445718
7dtp_A,val,after,17744534.1035053,-47228.67839289896
7f7n_A,val,after,-25672.292015725317,-30895.802233953822
7mpz_A,val,after,-34373.62112185922,-43753.49834649411
7dcm_A,val,after,-9651.984772027488,-36561.8089419474
7lqn_A,val,after,-32157.220088666763,-49353.476237821145
7l8n_A,val,after,-17082.137178233243,-24703.897745069047
7nf9_A,val,after,-3433.3890817370793,-7799.347827609253
7vdy_A,val,after,-46406.47204021715,-60291.89528152044
7wbr_A,val,after,-53498.70380865401,-75516.03826984999
7ar0_B,val,after,-16715.07491336584,-22601.621072611393
7thw_A,val,after,4512858932.297377,13558.179965342144
7sf6_A,val,after,-35382.253223892636,-51480.14207108966
7spp_C,val,after,1158287.850549975,30988.170976529407
7v1v_A,val,after,1182482368.3850408,325057583.4225507
7pbk_A,val,after,-9564.763887209127,-118264.39832262628
7et8_A,val,after,90629.43625835274,-39386.85313312615
7mcc_A,val,after,-20252.53776868456,-31744.320165995163
6wqc_A,val,after,-36076.90682318165,-54381.48494642443
6tf4_A,val,after,284551292.9418543,141052027.3549227
7don_B,val,after,159595.8080179526,-62032.913800441725
7b1k_B,val,after,-12264.072977031157,-25470.9384207329
7dms_A,val,after,-14432.095347876904,-19677.67318353754
7rdt_A,val,after,-26369.116552879834,-39419.9637139947
7nl4_A,val,after,-15416.40488998976,-24593.261276162622
7lqm_D,val,after,-30534.1443148306,-50858.1953176651
7bny_B,val,after,72495194464.78978,37647513313.41471
7ool_A,val,after,-10080.583801020606,-16155.297091715032
7mrq_A,val,after,169310324.12668258,-43697.463714259306
7fh3_A,val,after,24819.699051123047,-68423.76897533261
7kpj_E,val,after,-31584.98738323992,-46903.837832863916
7kqv_D,val,after,-42696.64528668966,-68352.5627287918
7p3t_B,val,after,119429.16321296558,-63038.49810327368
7dsu_B,val,after,82962371.92292285,18004.193451623345
7s94_C,val,after,-18806.562829100418,-22887.855647447606
7ezg_A,val,after,-31582.98341391263,-51523.74450791056
7tbs_A,val,after,2303417.291460567,-32114.82766520507
7fe3_A,val,after,29057444455.55119,29057292042.291164
7re6_A,val,after,-37373.218866377196,-69372.3617317467
7f8a_A,val,after,-46514.358737041475,-59514.00864993164
7fip_A,val,after,28497844.18471151,25600377.6079343
7kik_A,val,after,516471.2101660381,-16989.354299551444
7prd_A,val,after,-11576.024636910348,-20364.253354601136
7v6p_A,val,after,393467757.29003805,551074.4459155803
7b29_A,val,after,-20669.99505145957,-33297.236854055154
7ljh_A,val,after,-19998.07102606333,-61412.17386035704
7lgr_A,val,after,49533962317.22291,49533497465.22545
7ef6_A,val,after,-30099.960051027625,-47585.909079286845
7atr_A,val,after,13287825.47804422,9390424.130855309
7re4_A,val,after,4788056074.502212,863590087.0460854
7cjs_B,val,after,-24145.41538903597,-34236.85549623921
7dru_C,val,after,-4354.481846746488,-22284.905595770055
7lsv_B,val,after,-24437.78814327123,-33996.309327091134
7tkv_A,val,after,-9683.210628111046,-131350.29546693963
7duv_A,val,after,-14273.350915549898,-21520.34519977941
7kiu_A,val,after,1591066.1554281963,310524.31592561153
7ffa_A,val,after,4980207061.615505,-224636.9285466021
7bcb_B,val,after,-23486.496283867862,-28642.35104548264
7t8o_B,val,after,-35577.36827656609,-47850.66417224864
7lc5_A,val,after,-33332.70105775134,-45246.24776270111
7poh_B,val,after,-10125.859844428098,-16065.690166294848
7bew_A,val,after,-3111.9000182943855,-300149.4261027962
7bcj_A,val,after,-9463.179195774092,-18106.954547345074
7dmf_A,val,after,93694.9865593586,-40192.51545686516
7q03_A,val,after,-46041.745443294974,-64379.86900276001
7rbw_A,val,after,2428375468692.3145,2428369510501.1455
7m0q_B,val,after,-6897.388609062213,-14607.24381438641
7ab3_E,val,after,-15436.687898212065,-20554.117495390983
7ntn_A,val,after,-13083.119406423533,-17358.731203157848
7dq9_A,val,after,-36659.62200427786,-53625.53072475812
7ouq_A,val,after,65651.06045219541,-12222.537162305562
7f0h_A,val,after,-17726.26003835848,-27312.551737247115
7tj1_D,val,after,-16609.431952968735,-24891.31283666643
7bcz_A,val,after,41307022808.87098,-39689.02250494229
7pq7_A,val,after,-24108.24124398055,-35962.19545072518
6z01_A,val,after,64300312.896176174,-107169.1441425762
7dkk_A,val,after,-11959.476005877008,-15265.562323225355
7ny6_A,val,after,-17918.40530227587,-28807.611334281777
7w83_A,val,after,-11701.401988040594,-25233.17383826307
7b2a_A,val,after,187848.15058612576,-35200.36008747085
7wgk_A,val,after,-33270.021247618046,-44608.15722969025
7tav_B,val,after,-29888.71312464009,-42494.884321284524
7jt9_A,val,after,1018050.5648373504,-458.46051665186314
7p3b_B,val,after,-71588.72749376451,-93243.3355096301
7b26_C,val,after,75250.87218073648,-16343.844975554548
7ndr_A,val,after,20082.79996981984,-34016.70330441514
7x0q_A,test,before,484729.8789849916,-43786.1203376482
7e52_A,test,before,16966566.681880027,75902.78429350257
7ulh_A,test,before,1.1553467548645106e+20,298569946918.04755
7rcz_A,test,before,225077136.63987637,-45369.65309047197
8ahp_A,test,before,400737021086550.8,398014150456476.5
7yta_B,test,before,227790034464168.28,227746425270873.03
7n99_A,test,before,15692130994203.924,6347055422.589709
7x5e_B,test,before,151372682837653.66,172492834.5356397
7v4s_A,test,before,539113.1537768892,-2882.3841952321245
7nqd_B,test,before,50270777092465.836,4617911.3919881955
8day_A,test,before,46674991163.74797,34566695962.87328
7vrs_C,test,before,19503447229.343807,169935852.7154952
7t5w_B,test,before,269916554865.2751,128500375.20707972
7ko9_A,test,before,14125166085.267174,35412253.54371998
7x2e_A,test,before,209288190019.08817,20699140.551631905
7li0_A,test,before,228900.75110704376,161120.78119390958
7mq4_A,test,before,90178031.63952383,196068.81891280314
7zro_A,test,before,430732665.26529604,4183454.97981646
7x0d_A,test,before,6717388144781495.0,39102248137.62035
7usv_D,test,before,32474551147.147,98857464.19295555
7vmh_C,test,before,43815229985.37856,2356861.470953678
7upm_A,test,before,2816962926.3508997,1862623245.2608964
7qs5_A,test,before,14015304.319905313,358981.95368885325
7q51_A,test,before,5108848678159046.0,244283872617.17282
7ed6_A,test,before,622904028103.9413,26200792977.171078
7wrk_A,test,before,6.385016466030534e+17,936537287137.4585
7tze_C,test,before,1140045331856.8784,136997096986.86543
7q4l_A,test,before,1131107410405.2825,1130969479908.6226
7ri3_C,test,before,5.409133759693849e+21,5.407716893209577e+21
7rt7_D,test,before,151199932.81555268,198080.68749727402
7ebt_B,test,before,183385476188.4407,132552060153.71082
7x8j_A,test,before,6206765811505836.0,115724238259.0207
7rup_A,test,before,71161514263.69565,30191.10475598525
8d1x_D,test,before,7093884753.943171,86205.34988829802
7te2_A,test,before,10525565489.934725,7196146599.169285
7n45_A,test,before,29783849484.09899,253193743.6598186
7qdw_A,test,before,16185997319.91679,308381.66853080184
7t9x_A,test,before,142094144734.1058,1811399867.9941096
7lk4_D,test,before,47765175298184.875,40467036.11212211
7zou_A,test,before,87196.14098611113,-13570.89406601678
7win_B,test,before,2823248451403.831,2106705661658.6313
7v5f_A,test,before,16386827830.912775,119771.44938172653
7qys_L,test,before,5.398096158520888e+16,149030841.3961606
7uss_A,test,before,4.265900717358086e+16,2.6281676708888304e+16
7mni_C,test,before,2.5763691465949264e+17,2243586115490706.8
7vfc_A,test,before,38144.826639330924,-23036.417046165596
7x8c_B,test,before,133110.70093738602,14726.778455505184
7a67_A,test,before,201805902.55903396,116902.5861054302
7upq_B,test,before,7625832.092223665,2134.414952011506
7vrb_A,test,before,1232661691203712.0,1232440204640186.8
7q6g_A,test,before,4795572687.179577,15954446.512823666
7zty_A,test,before,1.974050885383175e+18,1.9673959439540293e+18
7qau_A,test,before,27166234460.49668,569882.2987078865
7vmf_A,test,before,34960.66849771984,-3142.210155902036
7t1j_B,test,before,45073805.38568374,5026712.037997871
7x0r_B,test,before,2708752686704.0225,1021342087140.3114
7u04_H,test,before,7620791450658.309,1088558254.5218382
7u4h_A,test,before,2.2878220580198708e+20,2.2878023246140205e+20
7rpr_A,test,before,1025330953496.9778,29552132.426773783
7v2s_B,test,before,3870083153634.2637,2631674944454.0054
7on7_A,test,before,15421332110.14282,5699717963.102391
7fax_A,test,before,2713132256008.367,25246530.618062362
7e0v_C,test,before,27064457.469937585,102422.44066000468
7vnx_A,test,before,192020658941.1819,148349014287.5294
7wme_A,test,before,1.0063334940259598e+18,61530238467.491196
7ea4_A,test,before,2309216996980134.5,1047055589875.5034
8cxa_A,test,before,90087878940.51315,28347483363.860302
7el8_A,test,before,774117950622755.6,774064848878567.8
7vtk_A,test,before,522557414.6641089,518652606.5578408
8ctr_A,test,before,534881522155394.25,3401530.886472444
7snj_A,test,before,297271196166766.75,296788756735728.7
7x4o_B,test,before,114716489067.67393,24815985896.798466
7ewu_B,test,before,12180761944964.166,4860743796976.951
7ocj_G,test,before,490334933.4445727,4117606.34051397
7spn_A,test,before,10511241396.832047,10159851429.213789
8bnt_B,test,before,15465655.44053197,238611.29855462024
7p4l_B,test,before,12063141751690.812,2742566167482.151
7rbp_A,test,before,5906511093229829.0,5901937691891067.0
7wrk_A,test,after,6.385016466030536e+17,936537247683.6113
7tze_C,test,after,1140045331856.8787,136997131739.33875
7q4l_A,test,after,1131107410405.2822,1130969396753.0332
7qs5_A,test,after,14015304.32072749,358981.9533095205
7q51_A,test,after,5108848678159045.0,244283872616.88263
7ed6_A,test,after,622904028103.9415,26200794647.4145
7t9x_A,test,after,142094144734.1052,1811399868.1291625
7win_B,test,after,2823248451403.83,2106705767131.244
7lk4_D,test,after,47765175298184.86,40468545.83523735
7zou_A,test,after,87196.1414358559,-13570.893140810524
7v5f_A,test,after,16386827830.913069,119771.52810545111
7ri3_C,test,after,5.409133759693849e+21,5.407716893209286e+21
7rt7_D,test,after,151199932.81566042,198080.68804001182
7ebt_B,test,after,183385476188.44043,132552060143.08968
7x8j_A,test,after,6206765811505837.0,115724256957.53973
7qdw_A,test,after,16185997319.917051,-5110884.780856332
7rup_A,test,after,71161514263.69565,30191.10477936714
8d1x_D,test,after,7093884753.943743,86205.34762202742
7te2_A,test,after,10525565489.934763,7196146096.630796
7n45_A,test,after,29783849484.099766,253193743.65977442
7yta_B,test,after,227790034464168.34,227746425270873.03
7n99_A,test,after,15692130994203.922,6347057080.1831
7v4s_A,test,after,539113.1540323757,-2882.384556377442
7x5e_B,test,after,151372682837653.56,172492821.85111737
7t5w_B,test,after,269916554865.27545,128500374.28643692
7ko9_A,test,after,14125166085.272596,35404032.339554355
7nqd_B,test,after,50270777092465.81,4617986.1079509575
8day_A,test,after,46674991163.746025,34566655944.70936
7vrs_C,test,after,19503447229.343624,169933725.37615943
7x0q_A,test,after,484729.8831983782,-43786.119351191184
7e52_A,test,after,16966566.68164858,75902.7833035539
7ulh_A,test,after,1.1553467548645107e+20,298569787710.5655
7rcz_A,test,after,225077136.642172,-44158.46246004944
8ahp_A,test,after,400737021086550.56,398014175237802.5
7usv_D,test,after,32474551147.14732,98857459.62150097
7zro_A,test,after,430732665.26549876,4183416.7815236435
7x0d_A,test,after,6717388144781495.0,39102237906.52262
7upm_A,test,after,2816962926.350333,1862615870.161066
7vmh_C,test,after,43815229985.37829,2356959.0442438982
7mq4_A,test,after,90178031.63924348,196062.92500327757
7li0_A,test,after,228900.75185826718,161120.78103837062
7x2e_A,test,after,209288190019.0878,20699181.476563312
7ea4_A,test,after,2309216996980135.5,1047055722001.2362
8cxa_A,test,after,90087878940.51369,28347473663.37321
7fax_A,test,after,2713132256008.367,25246680.369313136
7wme_A,test,after,1.00633349402596e+18,61530208997.0338
7e0v_C,test,after,27064457.470114294,102422.44095704673
7vnx_A,test,after,192020658941.1809,148348995196.16602
8bnt_B,test,after,15465655.44108859,238624.11254667083
7p4l_B,test,after,12063141751690.816,2742566216641.2617
7rbp_A,test,after,5906511093229830.0,5901937691891065.0
7el8_A,test,after,774117950622756.2,774064848878568.1
7vtk_A,test,after,522557414.66352665,518652606.5578121
7snj_A,test,after,297271196166766.75,296788756735728.8
8ctr_A,test,after,534881522155394.4,3401530.8883075723
7x4o_B,test,after,114716489067.67455,24815989117.313015
