protein_name,xfer_scnmin_omm_06g19_eval_s777,initial_training_eval_s0,baseline_scnmin_noomm_00_eval_s3869,baseline_scnmin_noomm_00_eval_s945,baseline_scnmin_noomm_00_eval_s777,xfer_scnmin_omm_06g19_eval_s1077
7zc8_A,0.801639,0.798586,0.775397,0.797387,0.798024,0.801018
7vmf_A,0.795225,0.796103,0.788044,0.800904,0.801363,0.79657
7rt7_D,0.797316,0.791501,0.800182,0.800472,0.799705,0.802065
7w5c_A,0.791265,0.780694,0.793266,0.788756,0.788729,0.792711
7wj0_A,0.69117,0.687272,0.713369,0.691675,0.690662,0.694848
7tv9_C,0.697562,0.68972,0.701718,0.693486,0.693395,0.694899
7lvf_A,0.606994,0.598491,0.597204,0.604315,0.605577,0.606345
7vd7_B,0.855025,0.855082,0.806616,0.851749,0.855575,0.853577
7p4n_A,0.692445,0.690753,0.695142,0.695549,0.696975,0.69497
7mnk_A,0.763499,0.745401,0.757548,0.763929,0.763292,0.761328
8bnt_B,0.77933,0.774175,0.774401,0.774455,0.776006,0.781596
7e4j_A,0.780106,0.778157,0.786904,0.780414,0.780028,0.78316
7sxb_A,0.66666,0.655919,0.654001,0.656227,0.658789,0.667145
7y0i_A,0.711954,0.687471,0.699942,0.706869,0.706425,0.713284
7snc_A,0.791142,0.77507,0.770276,0.784889,0.785978,0.792881
8d08_D,0.620634,0.619598,0.632471,0.617653,0.617486,0.620549
7eyl_A,0.857769,0.861101,0.841934,0.85751,0.855044,0.854655
7x7w_A,0.867249,0.863234,0.86104,0.866461,0.866532,0.868033
7qao_A,0.714573,0.647279,0.685147,0.711314,0.697009,0.709815
7p3i_B,0.869775,0.864926,0.869004,0.870146,0.870173,0.869999
7x8c_B,0.814504,0.816833,0.822052,0.81004,0.806992,0.813062
7y6c_A,0.75834,0.762486,0.758453,0.761661,0.75868,0.75316
7w1i_A,0.825907,0.819168,0.827319,0.824399,0.825877,0.826184
7r74_B,0.791087,0.786586,0.796265,0.788821,0.788305,0.791691
7qil_A,0.675897,0.66804,0.675152,0.672832,0.673227,0.677795
7pvm_A,0.694533,0.681063,0.618363,0.728121,0.736994,0.718646
